Molecule ChEMBL ID,Standard Type,Standard_Value,Standard Units,canon_smiles
CHEMBL1940679,Ki,800.0,nM,COc1ccc(C(=O)Nc2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)cc1
CHEMBL36327,Ki,400.0,nM,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1
CHEMBL424007,AC3,1.8,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(O[Si](C)(C)C(C)(C)C)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL595134,Kd,707.95,nM,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13
CHEMBL192571,EC50,13000.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL439495,Ki,6.1,nM,Cc1ccc(S(=O)(=O)N2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)cc1
CHEMBL439495,EC50,20000.0,nM,Cc1ccc(S(=O)(=O)N2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)cc1
CHEMBL437146,EC50,50000.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(C(=O)Nc4ccccc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL374271,Ki,6.6,nM,COC1(CC2CCCCC2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL375770,EC50,200.0,nM,COC1(Cc2ccccc2C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL375628,EC50,300.0,nM,COC1(Cc2cccc(Cl)c2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
