Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL3657041,0.77,nM,IC50,COc1ccccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)c(=O)n(CCO)c1)C2=O,9.113509274827518
CHEMBL3653203,0.4,nM,IC50,CCc1nc(OC)ccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.397940008672037
CHEMBL3797513,42.0,nM,IC50,CCCC1N(C(=O)c2cnccc2C(F)(F)F)CCCC1(Oc1ccc(C(F)(F)F)cc1)C(=O)N1CCC(Oc2cccc(C(=O)O)n2)CC1,7.376750709602099
CHEMBL3649911,3.0,nM,IC50,CC1CCC(Cn2c(N3CC(C)OC4CCCCC43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.522878745280337
CHEMBL3687256,19.3,nM,IC50,CC(C)c1c2c(nn1Cc1ccccc1C#N)C(=O)N(c1ccc(F)c(F)c1)C2c1ccc(Cl)cc1,7.714442690992226
CHEMBL3125537,0.1,nM,IC50,CC1(CC(=O)O)CC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N(C(CS(=O)(=O)C(C)(C)C)C2CC2)C1=O,10.0
CHEMBL3236652,0.4,nM,IC50,CC1(Cc2nc(C(=O)O)cs2)CC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N(C(CS(=O)(=O)C(C)(C)C)C2CC2)C1=O,9.397940008672037
CHEMBL1688152,47000.0,nM,IC50,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cccc2ccccc12,4.327902142064283
CHEMBL1688293,17000.0,nM,IC50,CC(=O)c1ccc(CN2C(=O)c3ccccc3C2(OCC2(CO)CC2)c2ccc(Cl)cc2)cc1,4.769551078621726
CHEMBL3653218,0.21,nM,IC50,COc1nc(N2CC(O)C2)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.67778070526608
CHEMBL3653240,1.54,nM,IC50,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(C2CCC(=O)N(C)C2)C3=O)c(OC)n1,8.812479279163536
CHEMBL3657054,142.6,nM,IC50,COc1cn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(C)nc(C)n1)C2=O,6.8458804744841535
CHEMBL3657042,0.56,nM,IC50,COCCn1cc(N2C(=O)c3nc(-c4ccccc4OC)n(C(C)C)c3C2c2ccc(Cl)cc2C)cc(Cl)c1=O,9.2518119729938
CHEMBL3687278,24.2,nM,IC50,Cc1cc(Cl)ccc1C1c2c(nn(Cc3ccccc3)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,7.616184634019569
